                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.83441,                0.48531,                0.86627,                0.27778,                0.08847,                0.06616,                0.03921,                 3.1878,                 4.4913,                 1.7953,              0.0088863,              0.0088863,              0.0088863
                     48,                0.82829,                0.48121,                0.86383,                0.22469,                0.09909,                0.08232,                0.03973,                 3.2338,                 4.7188,                 1.8574,              0.0088615,              0.0088615,              0.0088615
                     49,                0.82341,                0.47921,                0.86421,                0.26829,                 0.0781,                0.06745,                0.02937,                 3.2129,                 4.8346,                 1.8268,              0.0088368,              0.0088368,              0.0088368
                     50,                0.82031,                0.47535,                0.86246,                0.31049,                  0.095,                   0.08,                0.03838,                 3.1073,                 4.7453,                  1.804,               0.008812,               0.008812,               0.008812
                     51,                0.81651,                0.47556,                0.86315,                0.27783,                 0.0903,                0.07745,                0.03498,                 3.2631,                 4.8033,                 1.8638,              0.0087872,              0.0087872,              0.0087872
                     52,                0.81168,                0.46967,                0.86071,                0.23556,                0.09576,                0.07537,                  0.038,                  3.273,                 4.6998,                 1.8308,              0.0087625,              0.0087625,              0.0087625
                     53,                0.80806,                0.46763,                0.86033,                0.33133,                0.08401,                0.08341,                0.03705,                 3.2934,                 4.8189,                 1.8786,              0.0087378,              0.0087378,              0.0087378
                     54,                0.80793,                0.46722,                0.86117,                0.28805,                0.09428,                0.07772,                0.03817,                 3.2495,                 4.8788,                 1.8297,               0.008713,               0.008713,               0.008713
                     55,                0.79971,                0.46288,                0.85717,                0.24777,                0.07842,                 0.0674,                0.03112,                 3.2386,                 4.9875,                 1.8161,              0.0086882,              0.0086882,              0.0086882
                     56,                0.79719,                0.45958,                0.85713,                0.22868,                0.09777,                0.07156,                 0.0347,                 3.2415,                 4.8527,                 1.8193,              0.0086635,              0.0086635,              0.0086635
