                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.5864,                 1.0557,                 1.3108,                      0,                      0,                      0,                      0,                 4.0143,                  7.073,                 2.3711,             0.00055811,             0.00055811,             0.00055811
                     53,                 1.5838,                 1.0437,                 1.3026,                      0,                      0,                      0,                      0,                 2.6595,                 7.2729,                 2.2642,             0.00055261,             0.00055261,             0.00055261
                     54,                 1.5275,                 1.0078,                 1.2715,                      0,                      0,                      0,                      0,                 4.1637,                 6.5427,                 2.3604,             0.00054711,             0.00054711,             0.00054711
                     55,                 1.5177,                  0.991,                 1.2683,                      0,                      0,                      0,                      0,                 2.8524,                 9.5018,                 2.2147,             0.00054162,             0.00054162,             0.00054162
                     56,                  1.524,                0.99298,                 1.2821,                      0,                      0,                      0,                      0,                 2.7596,                 10.176,                 1.9377,             0.00053612,             0.00053612,             0.00053612
                     57,                  1.534,                0.99919,                 1.2716,                      0,                      0,                      0,                      0,                 2.7397,                  8.053,                 2.1689,             0.00053062,             0.00053062,             0.00053062
                     58,                 1.5306,                0.97617,                 1.2673,                      0,                      0,                      0,                      0,                 3.2433,                 6.8332,                 2.3571,             0.00052512,             0.00052512,             0.00052512
                     59,                 1.5017,                0.97166,                 1.2624,                      0,                      0,                      0,                      0,                 3.7665,                  6.875,                 2.1156,             0.00051963,             0.00051963,             0.00051963
                     60,                 1.4871,                 0.9509,                 1.2411,                      0,                      0,                      0,                      0,                 1.4047,                 13.445,                 2.5922,             0.00051413,             0.00051413,             0.00051413
                     61,                 1.4688,                0.92423,                 1.2277,                      0,                      0,                      0,                      0,                 4.3658,                 8.3976,                  2.461,             0.00050863,             0.00050863,             0.00050863
                     62,                 1.4399,                0.91205,                 1.2172,                      0,                      0,                      0,                      0,                 2.2192,                 7.2997,                   1.83,             0.00050313,             0.00050313,             0.00050313
                     63,                 1.4382,                0.90573,                 1.2203,                      0,                      0,                      0,                      0,                 4.4371,                 7.4878,                 2.5815,             0.00049763,             0.00049763,             0.00049763
                     64,                 1.4502,                0.90647,                  1.221,                      0,                      0,                      0,                      0,                 4.4707,                 7.5487,                  2.771,             0.00049214,             0.00049214,             0.00049214
                     65,                 1.4079,                0.95865,                 1.1991,                      0,                      0,                      0,                      0,                 3.1141,                 7.6836,                 2.7858,             0.00048664,             0.00048664,             0.00048664
                     66,                 1.4163,                0.88644,                 1.2083,                      0,                      0,                      0,                      0,                 2.2604,                 7.1328,                 2.5455,             0.00048114,             0.00048114,             0.00048114
                     67,                 1.4006,                0.86294,                 1.1971,                      0,                      0,                      0,                      0,                  1.794,                 6.2695,                 2.5423,             0.00047564,             0.00047564,             0.00047564
                     68,                 1.4014,                0.87223,                 1.2014,                      0,                      0,                      0,                      0,                 2.9175,                 7.3544,                 2.4699,             0.00047015,             0.00047015,             0.00047015
                     69,                  1.384,                0.83656,                 1.1814,                      0,                      0,                      0,                      0,                 2.9565,                 6.8876,                 2.8125,             0.00046465,             0.00046465,             0.00046465
                     70,                 1.3933,                0.85851,                 1.1923,                      0,                      0,                      0,                      0,                  2.866,                 7.0357,                 2.4315,             0.00045915,             0.00045915,             0.00045915
